"Comparison","Z","P.unadj","P.adj","Test"
"A.wild - B.wild",0.550449969644949,0.582010783124813,"0.97001797187","DUNN Shannon"
"A.wild - C.captive",2.02509160658211,0.0428579586164046,"0.21428979308","DUNN Shannon"
"B.wild - C.captive",0.475246160629949,0.634611528920906,"0.79326441115","DUNN Shannon"
"A.wild - C.wild",-0.545749200655487,0.585238346681322,"0.83605478097","DUNN Shannon"
"B.wild - C.wild",-0.866778142217538,0.386063580502865,"0.96515895126","DUNN Shannon"
"C.captive - C.wild",-2.49578879507489,0.0125677406048956,"0.12567740605","DUNN Shannon"
"A.wild - D.captive",0.270265569876871,0.786955951299847,"0.78695595130","DUNN Shannon"
"B.wild - D.captive",-0.307710887584701,0.758302334363465,"0.84255814929","DUNN Shannon"
"C.captive - D.captive",-1.13313114747478,0.257159182917428,"0.85719727639","DUNN Shannon"
"C.wild - D.captive",0.68383685937623,0.494078188458138,"0.98815637692","DUNN Shannon"
"A.wild - B.wild",0.0786357099492785,0.937322383039703,"0.93732238304","DUNN PD"
"A.wild - C.captive",1.21071413385128,0.226004983608672,"0.45200996722","DUNN PD"
"B.wild - C.captive",0.546288112476693,0.584867906338885,"0.83552558048","DUNN PD"
"A.wild - C.wild",-2.50001288241447,0.0124188790451606,"0.06209439523","DUNN PD"
"B.wild - C.wild",-1.57705467542358,0.114782944987518,"0.28695736247","DUNN PD"
"C.captive - C.wild",-3.97384553341688,7.07214372792122e-05,"0.00070721437","DUNN PD"
"A.wild - D.captive",0.263830675355993,0.791910396256144,"0.98988799532","DUNN PD"
"B.wild - D.captive",0.109896745565965,0.912491263573763,"1.00000000000","DUNN PD"
"C.captive - D.captive",-0.566565573737388,0.571009369928756,"0.95168228321","DUNN PD"
"C.wild - D.captive",2.19138629936474,0.0284238497063904,"0.09474616569","DUNN PD"
"C.wild - C. captive",NA,NA,"0.02990263603","WILCOX Shannon"
"C.wild - C. captive",NA,NA,"0.00005683317","WILCOX PD"
